#,Name,Level{Item},Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,StackSize,IsUnique,IsUntradable,Price{Mid},Price{Low},CanBeHq,IsDyeable,ClassJob{Repair},Level{Equip},EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,MaterializeType,MateriaSlotCount,IsPvP,IsGlamourous
1821,Bronze Spear,8,1,1,5,13,13,5,1,False,False,403,5,True,False,8,8,1,47,0,0,4,0,False,True
1822,Ramhorn Harpoon,10,1,1,5,13,13,5,1,False,False,424,7,True,False,8,10,1,47,0,0,4,0,False,True
1823,Feathered Harpoon,12,1,1,5,13,13,5,1,False,False,528,8,True,False,8,12,1,47,0,0,4,0,False,True
1824,Brass Spear,14,1,1,5,13,13,5,1,False,False,783,10,True,False,8,14,1,47,0,0,4,0,False,True
1825,Iron Spear,16,1,1,5,13,13,5,1,False,False,938,12,True,False,8,16,1,47,0,0,4,2,False,True
1827,Iron Lance,20,1,1,5,13,13,5,1,False,False,1296,17,True,False,8,20,1,47,0,0,4,2,False,True
1833,Iron Guisarme,23,1,1,5,13,13,5,1,False,False,2112,23,True,False,8,23,1,47,0,0,4,2,False,True
1836,Silver Battle Fork,26,1,1,5,13,13,5,1,False,False,2977,31,True,False,8,26,1,47,0,0,4,2,False,True
1838,Steel Halberd,29,1,1,5,13,13,5,1,False,False,4338,41,True,False,8,29,1,47,0,0,4,2,False,True
1840,Crooked Guisarme,42,1,1,5,13,13,5,1,False,False,4398,80,False,False,8,47,1,47,0,0,4,0,False,True
1845,Steel Spear,31,1,1,5,13,13,5,1,False,False,5097,48,True,False,8,31,1,47,0,0,4,2,False,True
1847,Heavy Steel Lance,34,1,1,5,13,13,5,1,False,False,5927,56,True,False,8,34,1,47,0,0,4,2,False,True
1850,Yarzonshell Harpoon,37,1,1,5,13,13,5,1,False,False,5588,64,True,False,8,37,1,47,0,0,4,2,False,True
1855,Mythril Lance,40,1,1,5,13,13,5,1,False,False,7776,73,True,False,8,40,1,47,0,0,4,2,False,True
1862,Cobalt Halberd,43,1,1,5,13,13,5,1,False,False,9156,83,True,False,8,43,1,47,0,0,4,2,False,True
1867,Cobalt Trident,46,1,1,5,13,13,5,1,False,False,9866,93,True,False,8,46,1,47,0,0,4,2,False,True
1870,Gerbald's Redspike,52,2,1,5,13,13,5,1,True,False,12148,56,False,False,8,50,1,47,0,0,4,0,False,True
1871,Vintage Guisarme,50,1,1,5,13,13,5,1,False,False,14850,107,True,False,8,47,1,47,0,0,4,3,False,True
1872,Hart Guisarme,49,1,1,5,13,13,5,1,False,False,11466,104,True,False,8,49,1,47,0,0,4,2,False,True
1875,Giantsgall Trident,70,2,1,5,13,13,5,1,False,False,19958,150,True,False,14,50,1,47,0,0,4,2,False,True
1879,Champion's Lance,55,2,1,5,13,13,5,1,False,False,15681,118,True,False,8,50,1,47,0,0,4,3,False,True
1882,Obelisk,70,2,1,5,13,13,5,1,False,False,19958,150,True,False,9,50,1,47,0,0,4,2,False,True
1889,Weathered Shortbow,1,1,1,4,12,13,5,1,False,False,89,2,False,False,8,1,1,50,0,0,6,0,False,True
1891,Maple Shortbow,5,1,1,4,12,13,5,1,False,False,212,4,True,False,8,5,1,50,0,0,6,0,False,True
1892,Maple Longbow,8,1,1,4,12,13,5,1,False,False,364,5,True,False,8,8,1,50,0,0,6,0,False,True
1893,Plumed Maple Shortbow,10,1,1,4,12,13,5,1,False,False,424,7,True,False,8,10,1,50,0,0,6,0,False,True
1894,Wrapped Maple Longbow,13,1,1,4,12,13,5,1,False,False,644,9,True,False,8,13,1,50,0,0,6,0,False,True
1895,Ash Shortbow,15,1,1,4,12,13,5,1,False,False,708,11,True,False,8,15,1,50,0,0,6,2,False,True
1897,Elm Longbow,18,1,1,4,12,13,5,1,False,False,1003,14,True,False,8,18,1,50,0,0,6,2,False,True
1899,Elm Velocity Bow,21,1,1,4,12,13,5,1,False,False,1514,19,True,False,8,21,1,50,0,0,6,2,False,True
1905,Wrapped Elm Longbow,24,1,1,4,12,13,5,1,False,False,2095,26,True,False,8,24,1,50,0,0,6,2,False,True
1908,Ash Composite Bow,28,1,1,4,12,13,5,1,False,False,3738,37,True,False,8,28,1,50,0,0,6,2,False,True
1910,Warped Bow,42,1,1,4,12,13,5,1,False,False,3459,80,False,False,8,47,1,50,0,0,6,0,False,True
1915,Ash Cavalry Bow,32,1,1,4,12,13,5,1,False,False,5368,51,True,False,8,32,1,50,0,0,6,2,False,True
1917,Oak Longbow,35,1,1,4,12,13,5,1,False,False,5616,59,True,False,8,35,1,50,0,0,6,2,False,True
1920,Mythril Cavalry Bow,37,1,1,4,12,13,5,1,False,False,6819,64,True,False,8,37,1,50,0,0,6,2,False,True
1925,Oak Composite Bow,40,1,1,4,12,13,5,1,False,False,7776,73,True,False,8,40,1,50,0,0,6,2,False,True
1932,Cobalt Cavalry Bow,43,1,1,4,12,13,5,1,False,False,8789,83,True,False,8,43,1,50,0,0,6,2,False,True
1937,Yew Longbow,46,1,1,4,12,13,5,1,False,False,8907,93,True,False,8,46,1,50,0,0,6,2,False,True
1940,Alesone's Songbow,52,2,1,4,12,13,5,1,True,False,14824,56,False,False,8,50,1,50,0,0,6,0,False,True
1941,Vintage Bow,50,1,1,4,12,13,5,1,False,False,14256,107,True,False,8,47,1,50,0,0,6,3,False,True
1942,Crab Bow,49,1,1,4,12,13,5,1,False,False,11007,104,True,False,8,49,1,50,0,0,6,2,False,True
1945,Giantsgall Longbow,70,2,1,4,12,13,5,1,False,False,18018,150,True,False,14,50,1,50,0,0,6,2,False,True
1949,Longarm's Composite Bow,55,2,1,4,12,13,5,1,False,False,15681,118,True,False,8,50,1,50,0,0,6,3,False,True
1953,Sarnga,70,2,1,4,12,13,5,1,False,False,19958,150,True,False,8,50,1,50,0,0,6,2,False,True
1958,Maple Wand,5,1,2,8,15,1,5,1,False,False,154,3,True,False,14,5,1,53,0,0,9,0,False,True
1959,Whispering Maple Wand,8,1,2,8,15,1,5,1,False,False,240,4,True,False,14,8,1,53,0,0,9,0,False,True
1960,Budding Maple Wand,11,1,2,8,15,1,5,1,False,False,344,5,True,False,14,11,1,53,0,0,9,0,False,True
1961,Ash Wand,16,1,2,8,15,1,5,1,False,False,560,8,True,False,14,16,1,53,0,0,9,1,False,True
1963,Budding Ash Wand,21,1,2,8,15,1,5,1,False,False,904,13,True,False,14,21,1,53,0,0,9,1,False,True
1965,Whispering Ash Wand,26,1,2,8,15,1,5,1,False,False,1778,21,True,False,14,26,1,53,0,0,9,1,False,True
1967,Yew Wand,29,1,2,8,15,1,5,1,False,False,2487,27,True,False,14,29,1,53,0,0,9,1,False,True
1969,Budding Yew Wand,34,1,2,8,15,1,5,1,False,False,3539,38,True,False,14,34,1,53,0,0,9,1,False,True
1971,Budding Oak Wand,38,1,2,8,15,1,5,1,False,False,4258,45,True,False,14,38,1,53,0,0,9,1,False,True
1974,Wand of Frost,42,1,2,8,15,1,5,1,False,False,5043,53,True,False,14,42,1,53,0,0,9,1,False,True
1976,Wand of Tremors,42,1,2,8,15,1,5,1,False,False,5043,53,True,False,14,42,1,53,0,0,9,1,False,True
1978,Wand of Tides,42,1,2,8,15,1,5,1,False,False,5043,53,True,False,14,42,1,53,0,0,9,1,False,True
1981,Wand of Flames,46,1,2,8,15,1,5,1,False,False,5892,62,True,False,14,46,1,53,0,0,9,1,False,True
1983,Wand of Gales,46,1,2,8,15,1,5,1,False,False,5892,62,True,False,14,46,1,53,0,0,9,1,False,True
1985,Wand of Storms,46,1,2,8,15,1,5,1,False,False,5892,62,True,False,14,46,1,53,0,0,9,1,False,True
1987,Budding Rosewood Wand,49,1,2,8,15,1,5,1,False,False,6573,69,True,False,14,49,1,53,0,0,9,1,False,True
1995,Weathered Cane,1,1,2,9,15,13,5,1,False,False,94,2,False,False,8,1,1,53,0,0,9,0,False,True
1996,Maple Cane,6,1,2,9,15,13,5,1,False,False,257,4,True,False,8,6,1,53,0,0,9,0,False,True
1997,Maple Crook,10,1,2,9,15,13,5,1,False,False,446,7,True,False,8,10,1,53,0,0,9,0,False,True
1998,Ash Radical,14,1,2,9,15,13,5,1,False,False,707,10,True,False,8,14,1,53,0,0,9,0,False,True
2000,Elm Cane,17,1,2,9,15,13,5,1,False,False,882,13,True,False,8,17,1,53,0,0,9,2,False,True
2002,Elm Crook,20,1,2,9,15,13,5,1,False,False,1116,17,True,False,8,20,1,53,0,0,9,2,False,True
2004,Yew Radical,21,1,2,9,15,13,5,1,False,False,1367,19,True,False,8,21,1,53,0,0,9,2,False,True
2010,Pastoral Yew Cane,23,1,2,9,15,13,5,1,False,False,1830,23,True,False,8,23,1,53,0,0,9,2,False,True
2011,Yew Crook,25,1,2,9,15,13,5,1,False,False,2271,28,True,False,8,25,1,53,0,0,9,2,False,True
2014,Splintered Cane,33,1,2,9,15,13,5,1,False,False,2430,53,False,False,8,38,1,53,0,0,9,0,False,True
2015,Walnut Cane,29,1,2,9,15,13,5,1,False,False,3586,41,True,False,8,29,1,53,0,0,9,2,False,True
2021,Plumed Yew Crook,32,1,2,9,15,13,5,1,False,False,4622,51,True,False,8,32,1,53,0,0,9,2,False,True
2023,Oak Radical,35,1,2,9,15,13,5,1,False,False,5616,59,True,False,8,35,1,53,0,0,9,2,False,True
2026,Pastoral Oak Cane,38,1,2,9,15,13,5,1,False,False,6437,67,True,False,8,38,1,53,0,0,9,2,False,True
2030,Sprouting Rosewood Radical,41,1,2,9,15,13,5,1,False,False,7316,76,True,False,8,41,1,53,0,0,9,2,False,True
2039,Jade Crook,45,1,2,9,15,13,5,1,False,False,8184,90,True,False,8,45,1,53,0,0,9,2,False,True
2041,Vintage Cane,41,1,2,9,15,13,5,1,False,False,8723,76,True,False,8,38,1,53,0,0,9,3,False,True
2043,Chiran Zabran's Tempest,52,2,2,9,15,13,5,1,True,False,13383,56,False,False,8,50,1,53,0,0,9,0,False,True
2044,Pastoral Mahogany Cane,49,1,2,9,15,13,5,1,False,False,9937,104,True,False,8,49,1,53,0,0,9,2,False,True
2047,Tane Mahuta,50,1,2,9,15,13,5,1,False,False,10296,107,True,False,14,50,1,53,0,0,9,2,False,True
2048,Giantsgall Cane,70,2,2,9,15,13,5,1,False,False,17186,150,True,False,14,50,1,53,0,0,9,2,False,True
2049,Madman's Whispering Rod,55,2,2,9,15,13,5,1,False,False,14157,118,True,False,14,50,1,53,0,0,9,3,False,True
2051,Alkalurops,70,2,2,9,15,13,5,1,False,False,18018,150,True,False,14,50,1,53,0,0,9,2,False,True
2055,Weathered Scepter,1,1,2,6,14,1,5,1,False,False,71,1,False,False,11,1,1,55,0,0,8,0,False,True
2056,Bone Brand,5,1,2,6,14,1,5,1,False,False,154,3,True,False,11,5,1,55,0,0,8,0,False,True
2057,Copper Scepter,9,1,2,6,14,1,5,1,False,False,297,4,True,False,11,9,1,55,0,0,8,0,False,True
2058,Bronze Scepter,12,1,2,6,14,1,5,1,False,False,421,6,True,False,11,12,1,55,0,0,8,0,False,True
2059,Brass Cudgel,15,1,2,6,14,1,5,1,False,False,564,8,True,False,11,15,1,55,0,0,8,1,False,True
2061,Decorated Copper Scepter,18,1,2,6,14,1,5,1,False,False,725,10,True,False,11,18,1,55,0,0,8,1,False,True
2063,Wind Brand,21,1,2,6,14,1,5,1,False,False,904,13,True,False,11,21,1,55,0,0,8,1,False,True
2066,Ice Brand,26,1,2,6,14,1,5,1,False,False,1778,21,True,False,11,26,1,55,0,0,8,1,False,True
2068,Damaged Cudgel,30,1,2,6,14,1,5,1,False,False,1505,30,False,False,11,35,1,55,0,0,8,0,False,True
2069,Silver Scepter,28,1,2,6,14,1,5,1,False,False,2440,25,True,False,11,28,1,55,0,0,8,1,False,True
