#,Name,Level{Item},Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,StackSize,IsUnique,IsUntradable,Price{Mid},Price{Low},CanBeHq,IsDyeable,ClassJob{Repair},Level{Equip},EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,Model{Main},Model{Sub},ClassJob{Use},MaterializeType,MateriaSlotCount,IsPvP,IsGlamourous
29,MGP,1,1,16,63,0,0,3,9999999,False,False,1,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
30,Allagan Tomestone of Law,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
31,Allagan Tomestone of Esoterics,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
32,Allagan Tomestone of Lore,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
33,Allagan Tomestone of Scripture,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
34,Allagan Tomestone of Verity,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
35,Allagan Tomestone of Creation,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
36,Allagan Tomestone of Mendacity,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
37,Allagan Tomestone of Genesis,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
38,Allagan Tomestone of Goetia,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
39,Allagan Tomestone of Phantasmagoria,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
40,Allagan Tomestone of Allegory,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
41,Allagan Tomestone of Revelation,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
42,Allagan Tomestone of Aphorism,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
43,Allagan Tomestone of Astronomy,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
44,Allagan Tomestone of Causality,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
45,Allagan Tomestone of Comedy,1,1,16,63,0,0,3,2000,False,False,2,0,False,False,0,1,0,0,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
708,Dated Hempen Cowl,14,1,4,35,0,15,5,1,False,True,601,6,True,False,13,14,1,1,0,0,"29, 1, 0, 0","0, 0, 0, 0",0,1,0,False,True
709,Dated Hempen Cowl (Beige),14,1,4,35,0,15,5,1,False,True,601,6,True,False,13,14,1,1,0,0,"29, 2, 0, 0","0, 0, 0, 0",0,1,0,False,True
710,Dated Hempen Cowl (Grey),14,1,4,35,0,15,5,1,False,True,601,6,True,False,13,14,1,1,0,0,"29, 3, 0, 0","0, 0, 0, 0",0,1,0,False,True
711,Dated Hempen Cowl (Brown),14,1,4,35,0,15,5,1,False,True,601,6,True,False,13,14,1,1,0,0,"29, 4, 0, 0","0, 0, 0, 0",0,1,0,False,True
786,Dated Cotton Cowl,24,1,4,35,0,15,5,1,False,True,1781,14,True,False,13,24,1,1,0,0,"29, 6, 0, 0","0, 0, 0, 0",0,1,0,False,True
787,Dated Cotton Cowl (Yellow),24,1,4,35,0,15,5,1,False,True,1781,14,True,False,13,24,1,1,0,0,"29, 7, 0, 0","0, 0, 0, 0",0,1,0,False,True
788,Dated Cotton Cowl (Green),24,1,4,35,0,15,5,1,False,True,1781,14,True,False,13,24,1,1,0,0,"29, 8, 0, 0","0, 0, 0, 0",0,1,0,False,True
789,Dated Cotton Cowl (Blue),24,1,4,35,0,15,5,1,False,True,1781,14,True,False,13,24,1,1,0,0,"29, 9, 0, 0","0, 0, 0, 0",0,1,0,False,True
790,Dated Cotton Cowl (Red),24,1,4,35,0,15,5,1,False,True,1781,14,True,False,13,24,1,1,0,0,"29, 10, 0, 0","0, 0, 0, 0",0,1,0,False,True
858,Dated Canvas Cowl,34,1,4,35,0,15,5,1,False,True,4548,31,True,False,13,34,1,1,0,0,"29, 11, 0, 0","0, 0, 0, 0",0,1,0,False,True
859,Dated Canvas Cowl (Yellow),34,1,4,35,0,15,5,1,False,True,4548,31,True,False,13,34,1,1,0,0,"29, 12, 0, 0","0, 0, 0, 0",0,1,0,False,True
860,Dated Canvas Cowl (Green),34,1,4,35,0,15,5,1,False,True,4548,31,True,False,13,34,1,1,0,0,"29, 13, 0, 0","0, 0, 0, 0",0,1,0,False,True
861,Dated Canvas Cowl (Blue),34,1,4,35,0,15,5,1,False,True,4548,31,True,False,13,34,1,1,0,0,"29, 14, 0, 0","0, 0, 0, 0",0,1,0,False,True
862,Dated Canvas Cowl (Red),34,1,4,35,0,15,5,1,False,True,4548,31,True,False,13,34,1,1,0,0,"29, 15, 0, 0","0, 0, 0, 0",0,1,0,False,True
925,Dated Velveteen Cowl,44,1,4,35,0,15,5,1,False,True,7014,48,True,False,13,44,1,1,0,0,"29, 16, 0, 0","0, 0, 0, 0",0,1,0,False,True
926,Dated Velveteen Cowl (Black),44,1,4,35,0,15,5,1,False,True,7014,48,True,False,13,44,1,1,0,0,"29, 17, 0, 0","0, 0, 0, 0",0,1,0,False,True
927,Dated Velveteen Cowl (Green),44,1,4,35,0,15,5,1,False,True,7014,48,True,False,13,44,1,1,0,0,"29, 18, 0, 0","0, 0, 0, 0",0,1,0,False,True
928,Dated Velveteen Cowl (Red),44,1,4,35,0,15,5,1,False,True,7014,48,True,False,13,44,1,1,0,0,"29, 19, 0, 0","0, 0, 0, 0",0,1,0,False,True
929,Dated Velveteen Cowl (Yellow),44,1,4,35,0,15,5,1,False,True,7014,48,True,False,13,44,1,1,0,0,"29, 20, 0, 0","0, 0, 0, 0",0,1,0,False,True
1475,Weathered Tool Belt,1,1,44,39,0,0,5,1,True,True,38,1,False,False,0,1,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1476,Weathered Satchel Belt,1,1,44,39,0,0,5,1,True,True,38,1,False,False,0,1,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1477,Weathered Survival Belt,1,1,44,39,0,0,5,1,True,True,38,1,False,False,0,1,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1478,Weathered Field Belt,1,1,44,39,0,0,5,1,True,True,38,1,False,False,0,1,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1479,Dated Rope Belt,6,1,44,39,0,0,5,1,False,True,83,1,True,False,0,6,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1480,Dated Leather Tool Belt,16,1,44,39,0,0,5,1,False,True,326,3,True,False,0,16,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1481,Dated Leather Tool Belt (Red),16,1,44,39,0,0,5,1,False,True,326,3,True,False,0,16,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1482,Dated Leather Tool Belt (Green),16,1,44,39,0,0,5,1,False,True,326,3,True,False,0,16,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1483,Dated Leather Survival Belt,17,1,44,39,0,0,5,1,False,True,356,4,True,False,0,17,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1484,Dated Leather Survival Belt (Black),17,1,44,39,0,0,5,1,False,True,356,4,True,False,0,17,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1485,Dated Sheepskin Shepherd's Belt,17,1,44,39,0,0,5,1,False,True,356,4,True,False,0,17,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1486,Dated Leather Belt (Red),19,1,44,39,0,0,5,1,False,True,416,4,True,False,0,19,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1487,Dated Leather Belt (Ochre),19,1,44,39,0,0,5,1,False,True,416,4,True,False,0,19,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1488,Dated Leather Belt (Green),19,1,44,39,0,0,5,1,False,True,416,4,True,False,0,19,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1489,Dated Leather Satchel Belt,21,1,44,39,0,0,5,1,False,True,526,5,True,False,0,21,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1490,Dated Leather Satchel Belt (Green),21,1,44,39,0,0,5,1,False,True,526,5,True,False,0,21,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1491,Dated Canvas Sash (Auburn),22,1,44,39,0,0,5,1,False,True,489,6,True,False,0,22,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1492,Dated Leather Hunting Belt,23,1,44,39,0,0,5,1,False,True,704,6,True,False,0,23,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1493,Dated Dodoskin Field Belt,25,1,44,39,0,0,5,1,False,True,916,7,True,False,0,25,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1494,Dated Tarred Leather Survival Belt,27,1,44,39,0,0,5,1,False,True,1162,9,True,False,0,27,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1495,Dated Dodoskin Shepherd's Belt,27,1,44,39,0,0,5,1,False,True,1162,9,True,False,0,27,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1496,Dated Leather Shepherd's Belt (Black),27,1,44,39,0,0,5,1,False,True,1162,9,True,False,0,27,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1497,Dated Tarred Leather Belt,29,1,44,39,0,0,5,1,False,True,1446,11,True,False,0,29,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1498,Dated Canvas Half Apron,30,1,44,39,0,0,5,1,False,True,1281,11,True,False,0,30,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1499,Dated Tarred Leather Satchel Belt,31,1,44,39,0,0,5,1,False,True,1770,12,True,False,0,31,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1500,Dated Brass Tassets,32,1,44,39,0,0,5,1,False,True,2236,13,True,False,0,32,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1501,Dated Tarred Canvas Sash,32,1,44,39,0,0,5,1,False,True,1491,13,True,False,0,32,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1502,Dated Tarred Leather Hunting Belt,33,1,44,39,0,0,5,1,False,True,1960,14,True,False,0,33,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1503,Dated Leather Chef's Belt,33,1,44,39,0,0,5,1,False,True,1960,14,True,False,0,33,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1504,Dated Voyager's Belt,35,1,44,39,0,0,5,1,False,True,2160,15,True,False,0,35,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1505,Dated Voyager's Belt (Green),35,1,44,39,0,0,5,1,False,True,2160,15,True,False,0,35,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1506,Dated Velveteen Rope Belt,36,1,44,39,0,0,5,1,False,True,1809,16,True,False,0,36,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1507,Dated Velveteen Rope Belt (Black),36,1,44,39,0,0,5,1,False,True,1809,16,True,False,0,36,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1508,Dated Safari Belt,37,1,44,39,0,0,5,1,False,True,2368,16,True,False,0,37,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1509,Dated Bronze Plate Belt,38,1,44,39,0,0,5,1,False,True,3466,17,True,False,0,38,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1510,Dated Velveteen Longsash (Red),38,1,44,39,0,0,5,1,False,True,1980,17,True,False,0,38,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1511,Dated Velveteen Longsash (Yellow),38,1,44,39,0,0,5,1,False,True,1980,17,True,False,0,38,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1512,Dated Velveteen Half Apron (Black),40,1,44,39,0,0,5,1,False,True,2160,19,True,False,0,40,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1513,Dated Iron Tassets,42,1,44,39,0,0,5,1,False,True,3518,20,True,False,0,42,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1514,Dated Tarred Voyager's Belt,45,1,44,39,0,0,5,1,False,True,3300,23,True,False,0,45,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1515,Dated Boarskin Tool Belt (Red),46,1,44,39,0,0,5,1,False,True,3426,24,True,False,0,46,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1516,Dated Boarskin Tool Belt,46,1,44,39,0,0,5,1,False,True,3426,24,True,False,0,46,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1517,Dated Iron Plate Belt,48,1,44,39,0,0,5,1,False,True,5163,25,True,False,0,48,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1518,Dated Iron Plate Belt (Green),48,1,44,39,0,0,5,1,False,True,5163,25,True,False,0,48,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1519,Dated Iron Plate Belt (Brown),48,1,44,39,0,0,5,1,False,True,5163,25,True,False,0,48,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1520,Dated Tarred Velveteen Longsash,48,1,44,39,0,0,5,1,False,True,2950,25,True,False,0,48,1,1,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
1675,Curtana,80,4,1,2,0,1,5,1,True,True,700,0,False,False,11,50,1,20,0,0,"201, 10, 1, 0","0, 0, 0, 0",19,3,0,False,False
1746,Sphairai,80,4,1,1,0,13,5,1,True,True,1000,0,False,False,11,50,1,21,0,0,"304, 1, 1, 0","354, 1, 1, 0",20,5,0,False,False
1816,Bravura,80,4,1,3,0,13,5,1,True,True,1000,0,False,False,9,50,1,22,0,0,"401, 7, 1, 0","0, 0, 0, 0",21,3,0,False,False
1885,Gae Bolg,80,4,1,5,0,13,5,1,True,True,1000,0,False,False,9,50,1,23,0,0,"504, 1, 1, 0","0, 0, 0, 0",22,4,0,False,False
1890,Judge's Bow,1,1,1,4,0,13,5,1,True,True,109,0,False,False,8,1,1,50,0,0,"603, 1, 2, 0","698, 4, 2, 0",5,6,0,False,True
1955,Artemis Bow,80,4,1,4,0,13,5,1,True,True,1000,0,False,False,8,50,1,24,0,0,"603, 1, 1, 0","698, 4, 1, 0",23,6,0,False,False
2052,Thyrus,80,4,2,9,0,13,5,1,True,True,1000,0,False,False,11,50,1,25,0,0,"801, 6, 1, 0","0, 0, 0, 0",24,9,0,False,False
2140,Stardust Rod,80,4,2,7,0,13,5,1,True,True,1000,0,False,False,11,50,1,26,0,0,"1001, 2, 1, 0","0, 0, 0, 0",25,8,0,False,False
2213,The Veil of Wiyu,80,4,2,10,0,13,5,1,True,True,1000,0,False,False,14,50,1,28,0,0,"1705, 1, 1, 0","0, 0, 0, 0",27,8,0,False,False
2214,Omnilex,80,4,2,98,0,13,5,1,True,True,1000,0,False,False,14,50,1,29,0,0,"1715, 1, 1, 0","0, 0, 0, 0",28,9,0,False,False
2306,Holy Shield,80,4,3,11,0,2,5,1,True,True,300,0,False,False,10,50,1,20,0,0,"101, 11, 1, 0","0, 0, 0, 0",0,3,0,False,False
2585,Lugworm,1,1,17,33,30,0,12,999,False,False,1,0,False,False,0,1,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2586,Moth Pupa,1,1,17,33,30,0,12,999,False,False,1,0,False,False,0,1,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2587,Pill Bug,5,1,17,33,30,0,12,999,False,False,2,1,False,False,0,5,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2588,Crayfish Ball,5,1,17,33,30,0,12,999,False,False,2,1,False,False,0,5,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2589,Goby Ball,10,1,17,33,30,0,12,999,False,False,3,1,False,False,0,10,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2590,Bloodworm,10,1,17,33,30,0,12,999,False,False,3,1,False,False,0,10,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2591,Rat Tail,15,1,17,33,30,0,12,999,False,False,4,1,False,False,0,15,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2592,Midge Basket,15,1,17,33,30,0,12,999,False,False,4,1,False,False,0,15,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2593,Crab Ball,20,1,17,33,30,0,12,999,False,False,5,1,False,False,0,20,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2594,Butterworm,20,1,17,33,30,0,12,999,False,False,5,1,False,False,0,20,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2595,Bass Ball,25,1,17,33,30,0,12,999,False,False,6,1,False,False,0,25,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2596,Spoon Worm,30,1,17,33,30,0,12,999,False,False,7,1,False,False,0,30,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2597,Syrphid Basket,30,1,17,33,30,0,12,999,False,False,7,1,False,False,0,30,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2598,Herring Ball,35,1,17,33,30,0,12,999,False,False,8,1,False,False,0,35,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2599,Honey Worm,35,1,17,33,30,0,12,999,False,False,8,1,False,False,0,35,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2600,Sand Leech,35,1,17,33,30,0,12,999,False,False,8,1,False,False,0,35,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2601,Stem Borer,40,1,17,33,30,0,12,999,False,False,9,1,False,False,0,40,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2602,Sand Gecko,40,1,17,33,30,0,12,999,False,False,9,1,False,False,0,40,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2603,Glowworm,45,1,17,33,30,0,12,999,False,False,10,1,False,False,0,45,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2604,Rolling Stone,45,1,17,33,30,0,12,999,False,False,10,1,False,False,0,45,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2605,Hoverworm,45,1,17,33,30,0,12,999,False,False,10,1,False,False,0,45,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2606,Northern Krill,50,1,17,33,30,0,12,999,False,False,11,1,False,False,0,50,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2607,Caddisfly Larva,50,1,17,33,30,0,12,999,False,False,11,1,False,False,0,50,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2608,Soil Creeper,50,1,17,33,30,0,12,999,False,False,11,1,False,False,0,50,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2609,Balloon Bug,50,1,17,33,30,0,12,999,False,False,11,1,False,False,0,50,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2610,Chocobo Fly,27,1,17,33,30,0,12,999,False,False,324,5,False,False,0,27,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2611,Floating Minnow,22,1,17,33,30,0,12,999,False,False,264,3,False,False,0,22,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2612,Brass Spoon Lure,23,1,17,33,30,0,12,999,False,False,276,4,False,False,0,23,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2613,Shrimp Cage Feeder,25,1,17,33,30,0,12,999,False,False,6,1,False,False,0,25,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2614,Crow Fly,20,1,17,33,30,0,12,999,False,False,240,3,False,False,0,20,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2615,Silver Spoon Lure,32,1,17,33,30,0,12,999,False,False,384,7,False,False,0,32,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2616,Steel Jig,32,1,17,33,30,0,12,999,False,False,384,7,False,False,0,32,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
2617,Sinking Minnow,34,1,17,33,30,0,12,999,False,False,408,8,False,False,0,34,0,19,0,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,False,False
